Atualizado - Type | 1 - normal - Normal
Já cadastrado - Weakness | 9 - 11 - 5
Já cadastrado - Weakness | 9 - 13 - 10
Já cadastrado - Weakness | 9 - 13 - 2
Já cadastrado - Weakness | 9 - 13 - 5
Já cadastrado - Weakness | 9 - 12 - 10
Já cadastrado - Weakness | 9 - 12 - 2
Já cadastrado - Weakness | 9 - 15 - 10
Já cadastrado - Weakness | 9 - 15 - 2
Já cadastrado - Weakness | 9 - 15 - 5
Já cadastrado - Weakness | 9 - 2 - 10
Já cadastrado - Weakness | 9 - 2 - 2
Já cadastrado - Weakness | 9 - 2 - 5
Já cadastrado - Weakness | 9 - 4 - 10
Já cadastrado - Weakness | 9 - 4 - 5
Já cadastrado - Weakness | 9 - 5 - 10
Já cadastrado - Weakness | 9 - 5 - 11
Já cadastrado - Weakness | 9 - 5 - 2
Já cadastrado - Weakness | 9 - 5 - 5
Já cadastrado - Weakness | 9 - 3 - 10
Já cadastrado - Weakness | 9 - 3 - 13
Já cadastrado - Weakness | 9 - 14 - 10
Já cadastrado - Weakness | 9 - 14 - 5
Já cadastrado - Weakness | 9 - 14 - 8
Já cadastrado - Weakness | 9 - 14 - 17
Já cadastrado - Weakness | 9 - 7 - 10
Já cadastrado - Weakness | 9 - 6 - 11
Já cadastrado - Weakness | 9 - 6 - 2
Já cadastrado - Weakness | 9 - 6 - 5
Já cadastrado - Weakness | 9 - 8 - 10
Já cadastrado - Weakness | 9 - 8 - 5
Já cadastrado - Weakness | 9 - 8 - 8
Já cadastrado - Weakness | 9 - 8 - 17
Já cadastrado - Weakness | 9 - 16 - 2
Já cadastrado - Weakness | 9 - 16 - 5
Já cadastrado - Weakness | 9 - 17 - 10
Já cadastrado - Weakness | 9 - 17 - 2
Já cadastrado - Weakness | 9 - 17 - 5
Já cadastrado - Weakness | 9 - 18 - 10
Já cadastrado - Weakness | 9 - 18 - 5
Já cadastrado - Weakness | 18 -  - 4
Já cadastrado - Weakness | 18 -  - 9
Já cadastrado - Weakness | 18 - 1 - 4
Já cadastrado - Weakness | 18 - 1 - 9
Já cadastrado - Weakness | 18 - 10 - 11
Já cadastrado - Weakness | 18 - 10 - 4
Já cadastrado - Weakness | 18 - 10 - 5
Já cadastrado - Weakness | 18 - 10 - 6
Já cadastrado - Weakness | 18 - 11 - 13
Já cadastrado - Weakness | 18 - 11 - 12
Já cadastrado - Weakness | 18 - 11 - 4
Já cadastrado - Weakness | 18 - 13 - 4
Já cadastrado - Weakness | 18 - 13 - 5
Já cadastrado - Weakness | 18 - 12 - 10
Já cadastrado - Weakness | 18 - 12 - 15
Já cadastrado - Weakness | 18 - 12 - 4
Já cadastrado - Weakness | 18 - 12 - 3
Já cadastrado - Weakness | 18 - 12 - 9
Já cadastrado - Weakness | 18 - 15 - 10
Já cadastrado - Weakness | 18 - 15 - 4
Já cadastrado - Weakness | 18 - 15 - 6
Já cadastrado - Weakness | 18 - 15 - 9
Já cadastrado - Weakness | 18 - 2 - 4
Já cadastrado - Weakness | 18 - 2 - 3
Já cadastrado - Weakness | 18 - 2 - 14
Já cadastrado - Weakness | 18 - 2 - 9
Já cadastrado - Weakness | 18 - 2 - 18
Já cadastrado - Weakness | 18 - 4 - 5
Já cadastrado - Weakness | 18 - 4 - 14
Já cadastrado - Weakness | 18 - 4 - 9
Já cadastrado - Weakness | 18 - 5 - 11
Já cadastrado - Weakness | 18 - 5 - 12
Já cadastrado - Weakness | 18 - 5 - 15
Já cadastrado - Weakness | 18 - 5 - 9
Já cadastrado - Weakness | 18 - 3 - 13
Já cadastrado - Weakness | 18 - 3 - 15
Já cadastrado - Weakness | 18 - 3 - 4
Já cadastrado - Weakness | 18 - 3 - 6
Já cadastrado - Weakness | 18 - 3 - 9
Já cadastrado - Weakness | 18 - 14 - 4
Já cadastrado - Weakness | 18 - 14 - 8
Já cadastrado - Weakness | 18 - 14 - 9
Já cadastrado - Weakness | 18 - 7 - 10
Já cadastrado - Weakness | 18 - 7 - 4
Já cadastrado - Weakness | 18 - 7 - 3
Já cadastrado - Weakness | 18 - 7 - 6
Já cadastrado - Weakness | 18 - 7 - 9
Já cadastrado - Weakness | 18 - 6 - 11
Já cadastrado - Weakness | 18 - 6 - 12
Já cadastrado - Weakness | 18 - 6 - 5
Já cadastrado - Weakness | 18 - 6 - 9
Já cadastrado - Weakness | 18 - 8 - 8
Já cadastrado - Weakness | 18 - 8 - 9
Já cadastrado - Weakness | 18 - 16 - 15
Já cadastrado - Weakness | 18 - 16 - 4
Já cadastrado - Weakness | 18 - 16 - 9
Já cadastrado - Weakness | 18 - 16 - 18
Já cadastrado - Weakness | 18 - 17 - 4
Já cadastrado - Weakness | 18 - 17 - 9
Já cadastrado - Weakness | 18 - 17 - 18
Já cadastrado - Weakness | 18 - 9 - 10
Já cadastrado - Weakness | 18 - 9 - 5
